Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent
xgboost,Half-Kelly,2660.0,2227.094619823733,-432.90538017626704,-16.27463835249124
xgboost,Half-Kelly,3040.0,2545.250994084266,-494.74900591573396,-16.274638352491248
xgboost,Half-Kelly,3420.0,2863.4073683448005,-556.5926316551995,-16.274638352491213
xgboost,Half-Kelly,3800.0,3181.5637426053327,-618.4362573946673,-16.274638352491248
xgboost,Intelligent Half-Kelly,380.0,295.16630151053465,-84.83369848946535,-22.324657497227722
xgboost,Intelligent Half-Kelly,760.0,590.3326030210693,-169.6673969789307,-22.324657497227722
xgboost,Intelligent Half-Kelly,1140.0,885.4989045316042,-254.50109546839576,-22.324657497227697
xgboost,Intelligent Half-Kelly,1520.0,1180.6652060421386,-339.3347939578614,-22.324657497227722
xgboost,Intelligent Half-Kelly,1900.0,1475.8315075526739,-424.1684924473261,-22.32465749722769
xgboost,Intelligent Half-Kelly,2280.0,1770.9978090632085,-509.0021909367915,-22.324657497227697
xgboost,Intelligent Half-Kelly,2660.0,2066.1641105737435,-593.8358894262565,-22.324657497227687
xgboost,Intelligent Half-Kelly,3040.0,2361.330412084277,-678.6695879157228,-22.324657497227722
xgboost,Intelligent Half-Kelly,3420.0,2656.4967135948127,-763.5032864051873,-22.324657497227697
xgboost,Intelligent Half-Kelly,3800.0,2951.6630151053478,-848.3369848946522,-22.32465749722769
xgboost,Intelligent Kelly,380.0,305.9586408149034,-74.04135918509661,-19.484568206604372
xgboost,Intelligent Kelly,760.0,611.9172816298068,-148.08271837019322,-19.484568206604372
xgboost,Intelligent Kelly,1140.0,917.8759224447103,-222.12407755528966,-19.484568206604354
xgboost,Intelligent Kelly,1520.0,1223.8345632596136,-296.16543674038644,-19.484568206604372
xgboost,Intelligent Kelly,1900.0,1529.7932040745172,-370.20679592548277,-19.484568206604354
xgboost,Intelligent Kelly,2280.0,1835.7518448894207,-444.2481551105793,-19.484568206604354
xgboost,Intelligent Kelly,2660.0,2141.7104857043237,-518.2895142956763,-19.484568206604372
xgboost,Intelligent Kelly,3040.0,2447.669126519227,-592.3308734807729,-19.484568206604372
xgboost,Intelligent Kelly,3420.0,2753.6277673341315,-666.3722326658685,-19.484568206604344
xgboost,Intelligent Kelly,3800.0,3059.5864081490345,-740.4135918509655,-19.484568206604354
xgboost,Kelly,380.0,325.3999999999999,-54.60000000000008,-14.3684210526316
xgboost,Kelly,760.0,650.7999999999998,-109.20000000000016,-14.3684210526316
xgboost,Kelly,1140.0,976.1999999999998,-163.80000000000018,-14.368421052631595
xgboost,Kelly,1520.0,1301.5999999999997,-218.40000000000032,-14.3684210526316
xgboost,Kelly,1900.0,1627.0,-273.0,-14.36842105263158
