Season,Date,HomeTeam,AwayTeam,ResultEncoded,Bet365HomeWinOddsPercentage,Bet365DrawOddsPercentage,Bet365AwayWinOddsPercentage,OddsFavourHome,OddsFavourDraw,OddsFavourAway,OddsDifference_HvA,OddsDifference_HvD,OddsDifference_AvD
2020,27/01/2021,Everton,Leicester,0,0.33938294010889286,0.2879612825166364,0.37265577737447064,0,0,1,0.25,-0.5,-0.75
2020,27/01/2021,Man United,Sheffield United,-1,0.7564469914040115,0.15759312320916904,0.08595988538681948,1,0,0,-9.75,-4.75,5.0
2020,28/01/2021,Tottenham,Liverpool,-1,0.2990936555891239,0.26586102719033233,0.4350453172205438,0,0,1,1.0,-0.3999999999999999,-1.4
2020,30/01/2021,Everton,Newcastle,-1,0.6150206978119456,0.23832052040212892,0.1466587817859255,1,0,0,-4.95,-2.45,2.5
2020,30/01/2021,Crystal Palace,Wolves,1,0.33086670045615807,0.2967460719716168,0.37238722757222503,0,0,1,0.3200000000000003,-0.33000000000000007,-0.6500000000000004
2020,30/01/2021,Man City,Sheffield United,1,0.8426966292134831,0.1048689138576779,0.05243445692883895,1,0,0,-16.88,-7.88,9.0
2020,30/01/2021,West Brom,Fulham,0,0.28851430811446493,0.29753038024304196,0.4139553116424932,0,0,1,1.0,0.09999999999999964,-0.9000000000000004
2020,30/01/2021,Arsenal,Man United,0,0.33980582524271846,0.27184466019417475,0.3883495145631068,0,0,1,0.34999999999999964,-0.7000000000000002,-1.0499999999999998
2020,30/01/2021,Southampton,Aston Villa,-1,0.33792775665399244,0.2628326996197719,0.3992395437262357,0,0,1,0.4299999999999997,-0.8000000000000003,-1.23
2020,31/01/2021,Chelsea,Burnley,1,0.7112375533428166,0.18918918918918923,0.09957325746799432,1,0,0,-8.17,-3.67,4.5
2020,31/01/2021,Leicester,Leeds,-1,0.532319391634981,0.23954372623574144,0.22813688212927755,1,0,0,-2.4000000000000004,-2.2,0.20000000000000018
2020,31/01/2021,West Ham,Liverpool,-1,0.21945293518300807,0.23755780233560622,0.5429892624813857,0,0,1,2.58,0.33000000000000007,-2.25
2020,31/01/2021,Brighton,Tottenham,1,0.29731830547998445,0.27982899339292655,0.42285270112708895,0,0,1,0.9500000000000002,-0.19999999999999973,-1.15
2020,02/02/2021,Sheffield United,West Brom,1,0.47482014388489213,0.2877697841726619,0.23741007194244607,1,0,0,-2.0,-1.2999999999999998,0.7000000000000002
2020,02/02/2021,Wolves,Arsenal,1,0.26279863481228666,0.28668941979522183,0.4505119453924914,0,0,1,1.5,0.30000000000000027,-1.1999999999999997
2020,02/02/2021,Man United,Southampton,1,0.6690140845070423,0.19718309859154928,0.13380281690140844,1,0,0,-5.6,-3.35,2.25
2020,02/02/2021,Newcastle,Crystal Palace,-1,0.33876221498371334,0.29641693811074915,0.3648208469055374,0,0,1,0.19999999999999973,-0.40000000000000036,-0.6000000000000001
2020,03/02/2021,Burnley,Man City,-1,0.07304347826086957,0.13565217391304346,0.7913043478260869,0,0,1,11.8,6.0,-5.8
2020,03/02/2021,Fulham,Leicester,-1,0.23539823008849559,0.26902654867256637,0.49557522123893805,0,0,1,2.1,0.5,-1.6
2020,03/02/2021,Leeds,Everton,-1,0.3787575150300601,0.2705410821643286,0.3507014028056112,1,0,0,-0.20000000000000018,-1.0,-0.7999999999999998
2020,03/02/2021,Aston Villa,West Ham,-1,0.43029595015576316,0.27842679127725856,0.29127725856697817,1,0,0,-1.0499999999999998,-1.1999999999999997,-0.1499999999999999
2020,03/02/2021,Liverpool,Brighton,-1,0.7137192704203014,0.18080888183980967,0.10547184773988898,1,0,0,-7.67,-3.92,3.75
2020,04/02/2021,Tottenham,Chelsea,-1,0.27055702917771884,0.2785145888594165,0.4509283819628648,0,0,1,1.4,0.10000000000000009,-1.2999999999999998
2020,06/02/2021,Aston Villa,Arsenal,1,0.36280998325492386,0.27158918746511446,0.36560082927996174,0,0,1,0.020000000000000018,-0.8799999999999999,-0.8999999999999999
2020,06/02/2021,Burnley,Brighton,0,0.2633204633204633,0.30579150579150577,0.43088803088803085,0,0,1,1.4,0.5,-0.8999999999999999
2020,06/02/2021,Newcastle,Southampton,1,0.31654676258992803,0.2877697841726619,0.3956834532374101,0,0,1,0.6000000000000001,-0.2999999999999998,-0.8999999999999999
2020,06/02/2021,Fulham,West Ham,0,0.2642238998342847,0.2717731541152642,0.46400294605045117,0,0,1,1.5500000000000003,0.10000000000000009,-1.4500000000000002
2020,06/02/2021,Man United,Everton,0,0.6175562417291575,0.22496691662990734,0.15747684164093514,1,0,0,-4.47,-2.67,1.7999999999999998
2020,07/02/2021,Tottenham,West Brom,1,0.6538661131292164,0.21069019200830302,0.13544369486248053,1,0,0,-5.55,-3.05,2.5
2020,07/02/2021,Wolves,Leicester,0,0.27055702917771884,0.2785145888594165,0.4509283819628648,0,0,1,1.4,0.10000000000000009,-1.2999999999999998
2020,07/02/2021,Liverpool,Man City,-1,0.2775479503572772,0.2621286197818729,0.46032342986085,0,0,1,1.35,-0.20000000000000018,-1.5500000000000003
2020,07/02/2021,Sheffield United,Chelsea,-1,0.13544369486248053,0.21069019200830302,0.6538661131292164,0,0,1,5.55,2.5,-3.05
2020,08/02/2021,Leeds,Crystal Palace,1,0.5256916996047432,0.24901185770750986,0.225296442687747,1,0,0,-2.4000000000000004,-1.9999999999999998,0.40000000000000036
2020,13/02/2021,Leicester,Liverpool,1,0.27055702917771884,0.2785145888594165,0.4509283819628648,0,0,1,1.4,0.10000000000000009,-1.2999999999999998
2020,13/02/2021,Crystal Palace,Burnley,-1,0.39917910748058427,0.305178866041608,0.29564202647780774,1,0,0,-0.8300000000000001,-0.73,0.10000000000000009
