Season,FifaVersion,Date,HomeTeam,AwayTeam,ResultEncoded,HomeFifaOverall,HomeFifaAttack,HomeFifaMidfield,HomeFifaDefence,AwayFifaOverall,AwayFifaAttack,AwayFifaMidfield,AwayFifaDefence,HFA,HomeElo,AwayElo,EloTierHome,EloTierAway
2019,20,21/12/2019,Man City,Leicester,1,86,86,87,83,78,79,77,77,56.2,2008.22253418,1835.67602539,1,2
2019,20,22/12/2019,Watford,Man United,1,78,78,79,76,82,82,81,80,56.2,1633.67041016,1825.83520508,4,2
2019,20,22/12/2019,Tottenham,Chelsea,-1,83,86,83,82,81,80,82,80,56.2,1856.41003418,1853.42504883,2,2
2019,20,26/12/2019,Tottenham,Brighton,1,83,86,83,82,76,77,76,75,56.2,1843.15283203,1651.33776855,2,4
2019,20,26/12/2019,Aston Villa,Norwich,1,75,76,75,73,74,76,73,72,56.2,1619.42358398,1601.2064209,4,4
2019,20,26/12/2019,Bournemouth,Arsenal,0,77,79,77,76,81,86,82,80,56.2,1688.64782715,1806.25622559,4,2
2019,20,26/12/2019,Chelsea,Southampton,-1,81,80,82,80,76,76,77,75,56.2,1866.68225098,1654.03405762,2,4
2019,20,26/12/2019,Crystal Palace,West Ham,1,77,79,77,76,79,80,79,76,56.2,1738.99035645,1702.98449707,3,3
2019,20,26/12/2019,Everton,Burnley,1,79,77,79,79,77,77,76,76,56.2,1729.23730469,1698.97851562,3,4
2019,20,26/12/2019,Sheffield United,Watford,0,73,73,72,73,78,78,79,76,56.2,1694.46057129,1650.12487793,4,4
2019,20,26/12/2019,Man United,Newcastle,1,82,82,81,80,77,79,75,76,56.2,1809.38085938,1725.49914551,2,3
2019,20,26/12/2019,Leicester,Liverpool,-1,78,79,77,77,84,86,83,84,56.2,1831.53344727,2066.75512695,2,1
2019,20,27/12/2019,Wolves,Man City,1,78,77,80,77,86,86,87,83,56.2,1763.42541504,2012.3651123,3,1
2019,20,28/12/2019,Brighton,Bournemouth,1,76,77,76,75,77,79,77,76,56.2,1648.62683105,1690.37475586,4,4
2019,20,28/12/2019,Newcastle,Everton,-1,77,79,75,76,79,77,79,79,56.2,1717.23693848,1735.05212402,3,3
2019,20,28/12/2019,Southampton,Crystal Palace,0,76,76,77,75,77,79,77,76,56.2,1674.03710938,1744.68225098,4,3
2019,20,28/12/2019,Watford,Aston Villa,1,78,78,79,76,75,76,75,73,56.2,1652.96154785,1625.35754395,4,4
2019,20,28/12/2019,Norwich,Tottenham,0,74,76,73,72,83,86,83,82,56.2,1595.27258301,1845.86376953,4,2
2019,20,28/12/2019,West Ham,Leicester,-1,79,80,79,76,78,79,77,77,56.2,1697.29272461,1823.93688965,4,2
2019,20,28/12/2019,Burnley,Man United,-1,77,77,76,76,82,82,81,80,56.2,1693.16357422,1817.64294434,4,2
2019,20,29/12/2019,Arsenal,Chelsea,-1,81,86,82,80,81,80,82,80,56.2,1804.5291748,1846.67919922,2,2
2019,20,29/12/2019,Liverpool,Wolves,1,84,86,83,84,78,77,80,77,56.2,2074.3515625,1776.21203613,1,3
2019,20,29/12/2019,Man City,Sheffield United,1,86,86,87,83,73,73,72,73,56.2,1999.57836914,1691.62390137,1,4
2019,20,01/01/2020,Brighton,Chelsea,0,76,77,76,75,81,80,82,80,56.2,1659.32214355,1855.0423584,4,2
2019,20,01/01/2020,Burnley,Aston Villa,-1,77,77,76,76,75,76,75,73,56.2,1683.97790527,1615.33764648,4,4
2019,20,01/01/2020,Newcastle,Leicester,-1,77,79,75,76,78,79,77,77,56.2,1708.01550293,1830.19836426,3,2
2019,20,01/01/2020,Southampton,Tottenham,1,76,76,77,75,83,86,83,82,56.2,1674.34790039,1840.8659668,4,2
2019,20,01/01/2020,Watford,Wolves,1,78,78,79,76,78,77,80,77,56.2,1662.98144531,1774.71240234,4,3
2019,20,01/01/2020,Man City,Everton,1,86,86,87,83,79,77,79,79,56.2,2001.57202148,1744.27368164,1,3
2019,20,01/01/2020,Norwich,Crystal Palace,0,74,76,73,72,77,79,77,76,56.2,1600.27038574,1744.37133789,4,3
2019,20,01/01/2020,West Ham,Bournemouth,1,79,80,79,76,77,79,77,76,56.2,1691.03125,1679.67944336,4,4
2019,20,01/01/2020,Arsenal,Man United,1,81,86,82,80,82,82,81,80,56.2,1796.1661377,1826.82861328,3,2
2019,20,02/01/2020,Liverpool,Sheffield United,1,84,86,83,84,73,73,72,73,56.2,2075.85131836,1689.63024902,1,4
